"","Port.Name","Border","Date","Measure","Lon","Lat","EXMXUS_20191202","LRUNTTTTCAM156S","PredictedValue"
"91","Massena","US-Canada Border",2019-03-01,"Personal Vehicle Passengers",-74.74,44.98944,19.2442,5.8,140728.515419771
"92","Otay Mesa","US-Mexico Border",2019-03-01,"Pedestrians",-117.05333,32.57333,19.2442,5.8,215509.164415926
"93","Pinecreek","US-Canada Border",2019-03-01,"Truck Containers Empty",-95.81074,48.77518,19.2442,5.8,919.753416027077
"94","Calexico East","US-Mexico Border",2019-03-01,"Truck Containers Full",-115.48433,32.67524,19.2442,5.8,8670.04606029748
"95","Otay Mesa","US-Mexico Border",2019-03-01,"Truck Containers Full",-117.05333,32.57333,19.2442,5.8,21258.4841860499
"96","Otay Mesa","US-Mexico Border",2019-03-01,"Truck Containers Empty",-117.05333,32.57333,19.2442,5.8,21258.4841860499
"97","Douglas","US-Mexico Border",2019-03-01,"Truck Containers Full",-109.54472,31.34444,19.2442,5.8,2782.64074916792
"98","Grand Portage","US-Canada Border",2019-03-01,"Personal Vehicle Passengers",-89.68472,47.96389,19.2442,5.8,19114.6551942776
"99","Northgate","US-Canada Border",2019-03-01,"Pedestrians",-102.39634,48.89848,19.2442,5.8,712.498803837913
"100","Port Huron","US-Canada Border",2019-03-01,"Rail Containers Empty",-82.47889,42.97583,19.2442,5.8,22550.2216334537
"101","Sarles","US-Canada Border",2019-03-01,"Truck Containers Full",-98.99457,48.94105,19.2442,5.8,362.288647652564
"102","Pembina","US-Canada Border",2019-03-01,"Personal Vehicles",-97.24333,48.96639,19.2442,5.8,16735.5250678796
"103","Sherwood","US-Canada Border",2019-03-01,"Truck Containers Empty",-101.55954,48.99719,19.2442,5.8,164.107208984137
"104","Laurier","US-Canada Border",2019-03-01,"Truck Containers Full",-118.22302,48.99892,19.2442,5.8,291.201865740779
"105","Santa Teresa","US-Mexico Border",2019-03-01,"Truck Containers Full",-106.67903,31.85,19.2442,5.8,3161.4446042175
"106","Beecher Falls","US-Canada Border",2019-03-01,"Truck Containers Empty",-71.49664,45.00808,19.2442,5.8,321.335552046007
"107","Del Rio","US-Mexico Border",2019-03-01,"Buses",-100.89639,29.3625,19.2442,5.8,3339.22411291032
